тэрмін на мове арыгінала (eng.),пераклад тэрміна на беларускую мову,як не перакладаць,заўвагі
lowercase,гл. lower case,,Samsung — ніжні рэгістр
Loyalty card,Карта пакупніка,,Samsung
LTE,LTE,,Samsung
lunch,абед,,Samsung
Lusaka,Лусака,,Samsung
Luxembourg,Люксембург,,"CLDR, Samsung"
Luxembourgish,люксембургская,,CLDR
ly,"св. г., св. гады",,CLDR
m,"хв (хвіліна); хвіліна; м (метр), метры",,CLDR
Macao,Макаа,,CLDR
Macao SAR China,"Макаа, САР (Кітай)",,CLDR
Macau,Макаа,,"CLDR, Samsung"
Macedonia,Паўночная Македонія; Македонія (калі маецца на ўвазе рэгіён),,CLDR
Macedonian,македонская,,CLDR
macro,макра,,Google (A type of photography in which the subjects are very small and require special types of lenses to be magnified sufficiently.)
macron,макрон,,Samsung
macros,макрас,,Google
Madagascar,Мадагаскар,,CLDR
Madrid,Мадрыд,,Samsung
magazine,часопіс,,Samsung
magenta,"фуксінавы, маджэнта (колер)",,"Project Zomboid — фуксінавы
Wikipedia — маджэнта

Фуксінавы крыху адрозніваецца ад колера маджэнта, але «маджэнта» — не слоўнікавае слова і вялікі шанец, што карыстальнік не зразумее і яму будзе складана праверыць слова"
Magisto,Magisto,,"Google (Magisto is a name; do not translate. Magisto is a fun and easy way to share your video memories with your friends. Just shoot and upload your videos and Magisto automatically turns them into beautifully edited movies, complete with music and effects, in minutes.)"
magnet,магніт,,Google (Sometimes used in the same sense as button/trigger (see above). Was used as a primary form of input on Cardboard I/O 2014 edition)
magnetometer,магнітометр,,Google (An instrument for measuring the strength or direction of magnetic fields. It is commonly included in many mobile devices.)
magnification gestures,жэсты павелічэння,,"Google (Magnification gestures is an accessibility feature in which users can temporarily magnify what’s on their screen or use magnification mode to easily zoom and pan their screen. Magnification gestures can be turned on or off on an Android device. When this feature is turned on, users can zoom in/out or pan by triple tapping the screen temporarily to magnify the screen. For more information: https://support.google.com/accessibility/android/answer/6006949?hl=en&ref_topic=6004781)"
magnifier,лупа,,Samsung
magnify,павялічыць,,Samsung
mailbox,паштовая скрынка,,"Google, Samsung"
main menu,галоўнае меню,,Samsung
Majuro,Маджура,,Samsung
make up,"касметыка; макіяж (і дзеянне, і яго рэзультат)",,"Project Zomboid — касметыка; макіяж (і дзеянне, і яго рэзультат)"
makeup,гл. make up,,
Malabo,Малаба,,Samsung
Malagasy,малагасійская,,CLDR
Malawi,Малаві,,CLDR
Malay,малайская,,CLDR
Malayalam,малаялам,,CLDR
Malaysia,Малайзія,,CLDR
Maldives,Мальдывы,,CLDR
malfunction,няспраўнасць,,Samsung
Mali,Малі,,CLDR
malicious,шкодны,,"Google, Samsung"
Malta,Мальта,,CLDR
Maltese,мальтыйская,,CLDR
malware,шкодная праграма,,Google
manage,кіраваць; кіраванне,,"MS, Samsung"
Manage accounts,Кіраванне ўліковымі запісамі,,Samsung
management,кіраванне,,"MS, Google"
management simulators,сімулятары кіравання,,Google
manager,менеджар (праграма); кіраўнік,,"MS, Google, Samsung"
Manaus,Манаўс,,Samsung
manifest,маніфест,,"MS, Anki"
Manila,Маніла,,Samsung
manipulating,кіраванне,,
manual,ручны; уручную; дапаможнік,,"Samsung, MS, Google"
manual camcorder,ручная відэакамера,,Samsung
manual review claim,прэтэнзія ў ручной апрацоўцы,прэтэнзія для ручной апрацоўкі,Google (A claim routed for review by a partner-defined custom match policy ( in the context of Content ID).)
manually,уручную,,"Samsung, MS"
manufacturer,вытворца,,Samsung
Maori,гл. Māori,,CLDR — маары
Māori,маары,,CLDR — маары
map,"карта (прадмет, адлюстраванне мясцовасці, геаграфічны тэрмін); мапа (відэагульнявая прастора); размясціць на карце",супаставіць,"Project Zomboid, WOT (?) — карта (прадмет, геаграфічны тэрмін); мапа (у відэагульнях)

Google – размясціць на карце (To represent something by way of a map. Example: “Map your photos”. не ""супаставіць"");
Samsung — карта"
map mode,рэжым карты,,"Google (noun: a setting that, when activated, shows a street map. Other modes are: traffic/satellite/street view)"
mapping,супастаўленне,,MS
Maps & Navigation,Карты і навігацыя,,Google
Maps & Navigation,Карты і навігацыя,,"Google (A Google Play Store category: navigation tools, GPS, mapping, transit tools, public transportation...)"
Maps for Android,Карты для Android,,"Google (Maps app for Android devices. This is not an official product name. Please translate ""Maps"" as per approved product name, and translate ""for Android"" descriptively.)"
Maputo,Мапуту,,Samsung
Marathi,маратхі,,CLDR
margin,поле (старонкі),,MS
mark,пазначыць; знак; пазнака,,"MS;
Samsung — пазначыць"
marked,пазначаны,,"MS, Telegram, Anki"
Market,Market,,Samsung
marketing,маркетынг,,"MS — маркетынг (часамі рэклама, але калі ідзе з advertising, то ідзе падзяленне)"
marking,пазнака; маркіроўка,,Project Zomboid — пазнака (на карце)
Marshall Islands,Маршалавы астравы,,CLDR
Martinique,Марцініка,,CLDR
mass,масавы,,Samsung
master sync,галоўная сінхранізацыя,,Samsung
masthead,шапка,,Google (Synonym of masthead ad. This is the ad within a masthead unit. A masthead unit is a 970x250 pixel in-page unit (space for an ad) running the full width of the YouTube homepage below the navigation bar.)
masthead ad,рэклама ў шапцы,,Google (The ad within a masthead unit. A masthead unit is a 970x250 pixel in-page unit (space for an ad) running the full width of the YouTube homepage below the navigation bar.)
Masthead Lite,Шапка-лайт,Лёгкая шапка,"Google (A new ad format, which is purchased for a full 24-hour period and is displayed on the YouTube homepage (like the Masthead). This new format is slightly different to the existing masthead, the most significant differences being that it is slightly smaller, always a combination of a video and a banner, and easier to implement.)"
masthead unit,шапка,,Google (A 970x250 pixel in-page unit (space for an ad) running the full width of the YouTube homepage below the navigation bar.)
match,супадаць; адпавядаць; улічваць; параўноўваць; супадзенне; матч,,"Google — матч ([Play Games] Multiplayer match (turn based multiplayer); A game played between multiple players. Examples: “Joe has challenged you to a match of Fruit Ninja”; “Matches in progress”.); супадзенне (Within the Content ID Management System, a match means that a user's uploaded video has been found to be identical to a partner's reference video in some aspect (audio, video, or both). A match is the basis for making a claim on the video within that system. Example: ""If you have a match for your reference video, you can choose to block that content."")

""Telegram — супадаць; адпавядаць; па запыце; супадзенне
MS — супадаць; адпавядаць; улічваць; падабраць; параўноўваць; шукаць; дапасаваць; супадзенне, суаднясенне"""
match,супадзенне,,Samsung
match dimensions,памеры супадзення,,Google (Plural noun phrase. Match dimensions for policies exist when the policy rule(s) that will apply to a piece of user-uploaded content depend on characteristics of the overlap between the content and the asset(s) that the content matches. Match dimensions can only be applied to claims that the YouTube Content Identification system generates via its asset-matching engines. Match dimensions include the length of a match and the percentage of the claimed content that matches an asset.)
match policy,палітыка ў выпадку супадзенняў,палітыка супадзенняў,Google (The policy that YouTube will apply to user-uploaded videos that is identical to either an audio or video reference file the content owner's account.)
match-3 games,тры ў рад,,Google
matchmaking,падбор,,Google (Process of finding random players to play against each other in a game. Example: “Enter matchmaking.”)
math,матэматыка,,
mathematics,матэматыка,,
matrix attribution,матрычная атрыбуцыя,,Google (Matrix attribution is used as a form of measuring traffic and allows that both the content owner (partners) and the operator (YouTube) get credit for traffic.)
Matte,Матавасць,Паціна,"Google (Photo effect that gives your photo a dull or flat appearance, without any shine.)"
Mauritania,Маўрытанія,,CLDR
Mauritius,Маўрыкій,,CLDR
maximize,! разгарнуць,,"MS
гэта калі мы маленькае акно робім велічынёй на ўвесь экран"
maximum,максімальны; максімум,,Samsung
may,май (месяц),травень,"Google, Sasung, MS
Не будзем ісці супраць склаўшайся тэрміналогіі, паўсюль ужываюць толькі май.

Project Zomboid — травень. У гэтым праекце больш вольны стаўленне да лексіцы, як да мастацкага твору, а не прыкладной праграмы, нават у некаторых элементах службовага інтэрфейсу. Было прынята рашэнне зрабіць некаторыя інавацыі, якія арыентуюцца больш на мову, якой гаворыць моладзь, а не на літаратурны стандарт, які не пакрывае поўнасцю слоўнікамі ўсе тэрміны ў гульні і не паспявае за развіццём мовы. Ва ўмовах палітычнага крызісу і павольнасці развіцця акадэмічнай мовы, хочацца рабіць асцярожныя крокі наперад, якія б развівалі мову. У той жа час, большая частка тэхнічнага перакладу арыентуецца на тыя правілы, якія ўжо ўсталяваліся ў прафесійнай супольнасці і аўтар спрабуе з большага прытрымлівацца акадэмічнага падыходу ў перакладзе."
Mayotte,Маёта,,CLDR
Mazatlan,Масатлан,,Samsung
MB,MB — МБ; мегабайт; Mb — Мбіт; мегабіт,,CLDR
MB,МБ,,Samsung
Mbits,Мбіт,,CLDR
MByte,"МБ
",,CLDR
MCN,ШКС,,"Google (Abbreviation of “Multi-Channel Network”. These are entities that affiliate with multiple YouTube channels, often to offer assistance in areas such as product, programming, funding, cross-promotion, partner management, digital rights management, monetization/sales and/or audience development.)"
MDM,MDM,,Samsung
meal,страва,,Samsung
measure,вымяраць,,Samsung
Mecca,Мекка,,Samsung
mechanism,механізм,,Samsung
media,мультымедыя; медыя,,Samsung — мультымедыя
Media browser,Мэдыябраўзер,,Samsung
Media Hub,Media Hub,,Samsung
media player,медыяпрайгравальнік,,Samsung
media scanner,сканер мультымедыя,,Samsung
media streaming player,плыневы прайгравальнік,прайгравальнік для плыневага змесціва,Google (Player for streaming multimedia content that is transmitted from a server and viewed or listened to in real-time by the user.)
mediaplayer,медыяпрайгравальнік,,Samsung
medical,медыцынскі,,Samsung
Medium Maturity,Сярэдняя ўзроставая катэгорыя,,"Google (A principle governing content labeling or filtering. The three primary rules are (1) No age numbers, (2) No phrases associated with kids or children under 13, (3) No age-based labels and phrases in general.)"
meeting,сход,,Samsung
Meeting name,Назва сходу,,Samsung
Meeting password,Пароль сходу,,Samsung
megabit,мегабіт,,CLDR
megabits,мегабіты,,CLDR
megabyte,мегабайт,,CLDR
megabytes,мегабайты,,CLDR
Melbourne,Мельбурн,,Samsung
Melilla,Мелілья,,
member,член,,"Google (Status assigned to a person who subscribes to YouTube Unlimited / YouTube Red.), Samsung"
membership,членства,,Google (Status assigned when someone subscribes to YouTube Unlimited / YouTube Red.)
memo,памятка,,Samsung
Memographer,Memographer,,Samsung
memory,памяць,,"Google (Storage space; this may refer either to SD memory or internal phone memory.), Samsung, MS"
memory card,карта памяці,,Samsung
memory group,група ўспамінаў,,Samsung
Memphis,Мемфіс,,Samsung
menu,меню,,Samsung
menu key,клавіша меню,,Samsung
Merch Annotations,Анатацыі да тавараў,,Google (Merch Annotations provides a way for partners to promote related merchandise directly within their videos using Annotations.)
merch partner,таварны партнёр,,Google (Partner who can promote merchandise directly within their videos using Annotations.)
Merch Store,Крама тавараў,,"Google (Short form of ""YouTube Merch Store"". The YouTube Merch Store allows partners to promote their licensed merchandise directly on their channels. This means you can sell related merchandise like T-Shirts, Digital Downloads, Tickets, and even Experiences such as fan meetups. The Merch Store is a place meant to promote your top merchandise that you feel is most relevant to your audience.)"
merge,аб'яднаць; зліццё; зліванне (Git),,
merge request,гл. pull request,,
message,паведамленне,,Samsung
Message black list,Чорны спіс для паведамленняў,,Samsung
Message black list strings,Радкі чорнага спіса для паведамленняў,,Samsung
Message composer,Стварэнне паведамлення,,Samsung
Message folder,Папка паведамленняў,,Samsung
Message settings,Налады паведамленняў,,Samsung
message tone,мелодыя паведамлення,,Samsung
Message white list,Белы спіс для паведамленняў,,Samsung
messages,паведамленні,,Samsung
messaging,абмен паведамленнямі,,"Google (Name of a default mobile app. This is the standard SMS app on Android.), Samsung"
Messina,Месіна,,Samsung
metadata,метаданыя,,"Google (A collection of data fields that identify and describe an asset. Assets can have multiple versions of metadata, such as titles in different languages. Content owners can provide different types of metadata for different types of assets. For example, the metadata for a sound recording includes the song title and the name of the artist featured in the recording. On the other hand, the metadata for a television program includes an episode number and season number.), Samsung"
metering,вымярэнне,,Samsung
method,метад (праграмны); спосаб,,"MS — метад (праграмны); спосаб;
Samsung — спосаб"
Mexico,Мексіка,,CLDR
Mexico City,Мехіка,,Samsung
MHL,MHL,,Samsung
MHz,МГц,,Samsung
miCoach,miCoach,,Samsung
"Micronesia, Federated States of",Федэратыўныя Штаты Мікранезіі,,няма ў CLDR
microphone,мікрафон,,Samsung
Mid Center,У сярэдзіне па цэнтры,,Anki
Mid-Autumn Festival,Свята сярэдзіны восені,,Samsung
midday,у сярэдзіне дня; поўдня,,Samsung
midtones,сярэднія тоны,паўтоны,"Google (Refers to the middle tonal values of an image, typically the middle 50% of tones.)"
Midway,Мідуэй,,Samsung
migrate,перанесці,,Samsung
Milano,Мілан,,Samsung
mile,міля,,Samsung
military,ваенны; вайсковы,,"ваенны — той, што тычыцца вайны і службы, прызначаны для патрэб вайны (акадэмія, справа, дысцыпліна, дыктатура);
вайсковы — той, што тычыцца войск, іх арганізацыі, належыць ім, складаецца з яго (разведка, шлем, верталёт)

выкарыстоўваюцца на роўных, часта як сінонімы, але «вайсковы» ў значэнні «ваенны» — больш нефармальнае. Не скажаш «вайсковая дыктатура» — бязглуздзіца."
Milwaukee,Мілуокі,,Samsung
Mini diary,Міні-дзённік,,Samsung
Mini mode,Міні-рэжым,,Samsung
mini-map,міні-карта,,Project Zomboid — нават калі маецца на ўвазе адлюстраванне гульнявой мапы само адлюстраванне з’яўляецца картай мапы
minimalist,мінімалістычны,,"Telegram, Anki"
minimise,гл. minimize,,
minimize,згарнуць,,"MS
Samsung — згарнуць
гэта калі мы хаваем акно"
minimum,мінімальны; мінімум,,Samsung
minor,Непаўналетняга,,Samsung (a person under the age of majority)
mins,хв,,Samsung
Minsk,Мінск,,
minute,хвіліна,,
mipmap,множнае адлюстраванне,,Project Zomboid
mirror,люстра; адлюстраваць,,
mirror mouse,аддаленае сэнсарнае кіраванне,,Samsung
misc,рознае,,Project Zomboid
miscellaneous,рознае,,MS
misfire,пропуск запальвання,,Samsung
Missed call notification,Апавяшчэнне пра прапушчаны выклік,,Samsung
missing,"адсутнічае, адсутнічаюць; адсутнае, адсутныя",прапушчаны,MS
mission,заданне,,Samsung
Mix,Мікс,,Google (Name of a predefined playlist. An assortment of videos related to the original music video that will be displayed automatically as context in the new watch 'next up' playlist. Examples of use: 'Next in Mix'.)
mix,змешваць,,"MS — мікс; выкарыстоўваць разам, чаргаваць; змяшаны;
Anki — змешваць"
mixtape,складанка,мікс-стужка,"Google (A compilation of favorite songs, or of a similar genre or artist. Users are able to upload a mixtape to YouTube but they need permission, or a license from copyright holders if the mixtape features copyrighted songs.)"
mm,"мм, міліметры",,CLDR
mmHg,мм.рт.сл.,,Samsung
MMI,MMI,інтэрфейс карыстальніка,"Google (Abbreviation of ""Man-Machine Interface."" MMI codes or sequences are the numeric codes with # and * that users can dial on mobile devices to activate and deactivate network features, for example, ""**61**11*10#"" to set up call forwarding.)"
MMS,MMS,,Samsung
mobile,мабільны,,Samsung
Mobile AP,мабільны пункт доступу,,Samsung
Mobile Broadband Connect,Мабільнае шырокапалоснае злучэнне,,Samsung
mobile broadcast,мабільная трансляцыя,,Samsung
Mobile Capture,Захоп экрана мабільніка,,Google (The Mobile Capture feature in the YouTube Gaming app enables users to instantly start broadcasting their gameplay without needing to rely on any extra hardware. This is done by live stream on their mobile device. See: https://support.google.com/youtube/answer/6261647?hl=en)
mobile data,мабільная перадача даных,,Samsung
mobile data connection,падключэнне мабільнай перадачы даных; мабільны інтэрнэт,,Google (Transmission of signals for the purpose of communication to/from a mobile device.)
mobile hotspot,мабільны хот-спот,,Google (A portable wireless access point created when tethering is carried out over Wi-Fi. This enables the Internet-connected mobile device to act as a portable wireless access point and router for devices connected to it.)
mobile hotspot,мабільны хот-спот,,Samsung
Mobile Kies,Мабільны Kies,,Samsung
mobile network,мабільная сетка,,Samsung
Mobile open communities,Мабільныя адкрытыя супольнасці,,Samsung
Mobile Orchestra,Мабільны аркестр,,Samsung
mobile phone,мабільны тэлефон,,Samsung
Mobile prayer,Мабільная малітва,,Samsung
mobile printing,мабільны друк,,Samsung
Mobile tracker,Інфармаванне аб змене SIM,,Samsung
Mobile Video Masthead,Відэашапка для мабільных прылад,,"Google (The Video Masthead is a 1-day takeover of YouTube's homepage, on desktop, mobile or both. The video masthead showcases your client's videos with unparalleled visibility and reach on the world’s most prominent video destination, and does so with minimal implementation required.)"
mobility,мабільнасць,,Samsung
mod,мадыфікацыя (ад modification); мод (у крайнім выпадку),,Project Zomboid
modal,мадальны,,MS
mode,"рэжым, рэжыму, рэжыме",,Samsung
model,мадэль,,"Samsung, MS"
modem,мадэм,,MS
moderate,умераны,,Samsung
moderate rain,умераны дождж,,Samsung
moderator,мадэратар,,MS
Modern Standard Arabic,сучасная стандартная арабская,,CLDR
modification,"мадыфікацыя (і дзеянне, і прадукт); змяненне, змена",,MS
modified,зменена,,"Telegram, Anki"
modifier,мадыфікатар,,
modify,змяняць,,Samsung
Modules,Модулі,,Samsung
Mogadishu,Магадыша,,Samsung
Moldova,Малдова,,CLDR
Monaco,Манака,,CLDR
monetize,манетызаваць,,"Google (To make money from. This is an action that partners can take under the Content ID system when they have identified copyright-infringing content on YouTube. This policy leaves the user's video up on the site, and puts advertisements on the video's watch page to bring in revenue.)"
monetized platform,манетызаваная платформа,,"Google (Platform that contains options for monetization, both on the web and on other devices.)"
monetized playbacks,манетызаваныя паказы,,Google (Within YouTube Analytics – Monetized playback is when a viewer views your video in which at least one ad impression is shown.)
Mongolia,Манголія,,CLDR
Mongolian,мангольская,,CLDR
monitor,сачыць; дасочваць,,Samsung
mono,мона,,Samsung
monospace,монашырынны,,"MS, Moon Reader"
Monrovia,Манровія,,Samsung
Montenegro,Чарнагорыя,,CLDR
Montevideo,Мантэвідэа,,Samsung
month,месяц,,Samsung
monthly,штомесяц; штомесячны; за месяц,,"MS, Samsung"
monthly cohort,месячная кагорта,штомесячная катэгорыя,Google (A metric that shows developers spending patterns of users who installed an app within the same month.)
Montreal,Манрэаль,,Samsung
Montserrat,Мантсерат,,CLDR
mood,настрой,,Samsung
mood icon,значок настрою,,Samsung
More,Яшчэ,,Samsung (элемент інтэрфейсу)
More app,Іншыя праграмы,,Samsung
more information,дадатковыя звесткі,,
More languages,Дадатковыя мовы,,Samsung
More menu,меню «Дадаткова»,,Samsung (Menu name)
more options,іншыя параметры,,Samsung
more settings,іншыя налады,,Samsung
more than one,некалькі,,Samsung
Morocco,Марока,,CLDR
most,большасць; найбольш,,Samsung
motion,рух; рух актывацыі,,"Google — рух актывацыі (Moving the phone in a certain way for triggering an action. In gesture search, a specific type of motion, named double flip, is used for bringing up Gesture Search.);
Samsung — рух"
Motion game,Рухавая гульня,,Samsung
Motion lock,блакіроўка рухам,,Samsung
Motion tutorial,Інструкцыя аб рухах,,Samsung
motionless,нерухомы,,Samsung
mount,падключыць,,"Google (To make the contents of an SD card available to a computer or phone.), Samsung"
mouse,мыш,,Samsung
mouse pointer,указальнік мышы,,
mouse shortcut,каманда мышы,,MS
mouse wheel,колца мышы,,"MS, Project Zomboid"
mouseover,навядзенне курсора,,"Google (The action of placing the mouse cursor over the image or text of an ad, thereby triggering certain actions, such as expanding the ad or an animation to play.)"
mouseover policy,палітыка навядзення курсора,,Google (Guidelines regarding the use of mouseover effects in ads.)
move,перамясціць,,Samsung
Move out of Secure Folder,Перамясціць з бяспечнай папкі,,Samsung
Moves,Рухі,,"Google (Quick gestures, like double tap on the screen or raising the device to quickly check the screen, double twist for a selfie within camera app e.t.c, that let you control your phone on the NEW Nexus devices (2016 only))"
movie,фільм,,"Google (Singular of ""movies"". Movie here refers to Google Photos Movies, they are movies auto generated by Google (or created in the app by the user) using your photos and videos. If the keyword 'Movie' is typed in the search bar, we will redirect the user to the Movies page so it is important that the translation match the translation of the word Movies in the Google Photos Android and iOS apps.), Samsung — фільм"
Movie Studio,Кінастудыя,,"Google (SHORT NAME for Android Movie Studio- A tool to edit the videos you take with Camera or copy onto your tablet into movies. You can cut and order scenes, add a sound track, and so on.)"
movies,фільмы,,"Google (Movies are many short video clips, combined into one video. They can be automatically created by Photos or created by the user. Users can reorder the clips and change the music on the movie.)"
Mozambique,Мазамбік,,CLDR
MPPE,MPPE,,Samsung
MTP,MTP,,Samsung
multi,некалькі,,Samsung
multi window,некалькі вокнаў,,Samsung
multi window tray,вобласць некалькіх вокнаў,,Samsung
multi window view,рэжым некалькіх вокнаў,,Samsung
Multi-Channel Network,Шматканальная сетка,,"Google (Multi-Channel Networks (MCNs) are entities that affiliate with multiple YouTube channels, often to offer assistance in areas such as product, programming, funding, cross-promotion, partner management, digital rights management, monetization/sales and/or audience development.)"
multi-core,шмат’ядзерная апрацоўка,,Project Zomboid
multi-exposure,мультыэкспазіцыя,,"Google (All the selected photos are blended together, one on top of another, to form a single image)"
multi-user,шматкарыстальніцкі рэжым,,Google (Feature that allows multiple users to share a device.)
multi-window,некалькі вокнаў,,"Google (Name of new Android feature in N release that allows users to run and view more than one app at a time.), Samsung — некалькі вокнаў"
multimedia,мультымедыя; мультымедыйны,,"Samsung — мультымедыя;
MS — мультымедыя; мультымедыйны"
multiplayer games,шматкарыстальніцкія гульні,,Google
multiple,некалькі,,Samsung
multiple product highlight,агляд некалькіх прадуктаў,вылучэнне некалькіх прадуктаў,"Google (A theme/template type in Video Ad Builder. Themes are collections of instructions and asset formats. For example, a theme might consist of two videos and two images, where the first video is instructed to be ""The name of your business"" and the second image is instructed to be ""An exterior shot of your business"". Multiple product highlight is the specific name of a single theme that allows the user to create a video which highlights multiple products or services that his or her business provides.)"
multiplier,множнік,,Project Zomboid
muscle,цягліца,,Samsung
muscle mass,цяглічная маса,,Samsung
Museum Matte,Музейная рама,Музейная паціна,Google
Museum Matte,Музейная рама,,Google (Photo effect that adds a shadowed matte frame to your photo.)
music,музыка; музычны,музыкальны,Samsung
Music controller,Кантролер музыкі,,Samsung
Music Discovery Project,Праект музычных талентаў,Праект адкрыцця музыкі,"Google (Music Discovery Project is a new YouTube feature that lets you 'Share your videos with friends, family, and the world.'http://www.youtube.com/disco"")"
Music for Android,Музыка для Android,,"Google (Music for Android is a new application that you can download to your computer. Once you have downloaded it to your computer, you can use the application to specify where your music lives on your computer. Whether your music is in your iTunes library or in folders on your computer doesn't matter. Once you have specified where your music lives, you can access all that music on your phone without having to sync your music library with your phone. As long as your computer is on, you can stream music from your computer to your phone.)"
Music Hub,Music Hub,,Samsung
music locker,музычная шафа,,Google (An online music library. This is the cloud-based storage where all of a user's music resides.)
music player,музычны прайгравальнік,,Samsung
Music recognition,Распазнаванне музыкі,,Samsung
Music recommendation,Музычныя рэкамендацыі,,Samsung
Music square,Музычны квадрат,,Samsung
musician,музыкант,,"Google (YouTube account/channel type. This type is for users whose primary content on YouTube will be music-related. This group includes bands, individual performers, and record labels. Any user can have this type of account.)"
mute,адключыць гук,,"MS, Samsung"
Mute alert,Адключыць абвестку,,Samsung
My accounts,Мае ўліковыя запісы,,Samsung
My Books,Мае кнігі,,Google (Library and consumption experience for all of the books the a user has installed. Previously referenced as My Library: Books)
My box,Мой адсек,,Samsung
my call sound,мой гук выкліку,,Samsung
My Categories,Мае катэгорыі,,Samsung
My Contacts,Мае кантакты,,Samsung
My files,Мае файлы,,Samsung
My Magazine,My Magazine,,Samsung
My Music,Мая музыка,,Google (Library and consumption experience for all the music that a user has installed. Previously referenced as My Library: Music)
My music,Мая музыка,,Samsung
My places,Мае месцы,,Samsung (UI name (in S Assistant))
My profile,Мой профіль,,Samsung
my sound,мой гук,,Samsung
My stuff,Асабістае,,"Google (Used in Google Now. Name of the screen where the user can set their home and work addresses, favorite sports teams, or stock list. This enables them to customize which information is shown in predictive cards.)"
My theme,Мае тэмы,,Samsung
My Verizon,Мой Verizon,,Samsung
My video,Маё відэа,,Samsung
My view,Асабісты рэжым,,Samsung
MY5,MY5,,Samsung
Myanmar,М’янма (Бірма),,CLDR
Myspace,Myspace,,Samsung
N'Djamena,Нджамена,,Samsung
Nairobi,Найробі,,Samsung
name,назва; імя (толькі адносна жывых істот),,Samsung — назва
name tag,тэг імя,,"Google (By adding name tags to your photos in Picasa Web Albums, you can quickly organize and share your photos based on the people in them.)"
namecard,візітка,,Samsung
Namecard info recognition,Распазнаванне візіткі,,Samsung
Namibia,Намібія,,CLDR
Napoli,Неапаль,,Samsung
narration,расказ,,Samsung
Nashville,Нашвіл,,Samsung
native app,уласная праграма,,Samsung
natural,натуральны,,Samsung
Nauru,Науру,,CLDR
navigate,навігацыя; пераход,,MS
navigation,навігацыя,,Samsung
navigation drawer,высоўнае меню навігацыі,,"Google (The navigation drawer is a panel that transitions in from the left edge of a device's screen and displays the app’s main navigation options. The key advantages of this approach is that the content can grow inside a scrolling element, allowing for larger site structures and it takes up a very small amount of screen real estate. For more info see: https://developer.android.com/design/patterns/navigation-drawer.html)"
Navigation key,Клавіша навігацыі,,Samsung
Near Field Communication,Блізкая бескантактная сувязь; NFC,,"Google (A short-range, high frequency wireless communication technology. NFC makes it possible to exchange data between devices over short ranges (about 10 centimeters).)"
Nearby,Паблізу,,Google (Feature name. Nearby is a new feature in Google Settings. It allows your device to talk to other devices within 100 feet. Nearby uses both Bluetooth and WiFi as well as the speaker and microphone to find other Nearby-enabled devices near you.)
Nearby places,Бліжэйшыя месцы,,Samsung
need,трэба,,Samsung
needed,неабходна; трэба,,Samsung
negate,унарны мінус,,MS — унарны мінус
negated,з адмаўленнем,,"MS, Anki"
negative,негатыў; негатыўны,,Samsung
negotiate,узгадніць,,Samsung
Neon,Неон,,Google (Photo effect that gives your photo a neon light effect.)
Nepal,Непал,,CLDR
Nepali,непальская,,CLDR
Netflix,Netflix,,Samsung
Netflix Instant,Netflix Instant,,Samsung
Netherlands,Нідэрланды,,CLDR
Netherlands Antilles,Нідэрландскія Антыльскія астравы,,"БелЭн,
няма ў CLDR"
Netpulse,Netpulse,,Samsung
network,сетка,,"Samsung, MS"
network booster,паскаральнік сеткі,,Samsung
network error,памылка сеткі,,"MS, Anki"
Network Manager,Менеджар сетак,,
network mode,рэжым сеткі,,Samsung
Network Name Broadcast,Трансляцыя назвы сеткі,,Google (Network Name Broadcast is an Android function that allows users to control the SSID (service set identifier) information broadcast by their mobile phone. It protects from third parties getting access to their network information.)
network traffic,сеткавы трафік,,Google (Refers to the flow of data in a network)
neutral color picker,выбар нейтральнага колеру,,Google (Tool to pick something in the photo that should be gray or white. The color temperature of the photo will then be adjusted according to the color the user clicks on.)
never,ніколі,,Samsung
new,"новы, новая; стварыць",,Samsung — новы; стварыць
New Caledonia,Новая Каледонія,,CLDR
New Delhi,Нью-Дэлі,,Samsung
New lesson,Новы ўрок,,Samsung
New York,Нью-Ёрк,,Samsung
New Zealand,Новая Зеландыя,,CLDR
Newest,Самае новае,,MS
Newfoundland,Ньюфаўндленд,,Samsung
News,Навіны,,MS
news,навіны,,Samsung
News & Weather,Навіны і надвор'е,,Google (Name of a default app. An app and Home screen widget that provides information about the current news and weather.)
newsletter,рассылка,,"Google (A report containing news or information, can be printed or distributed electronically.)"
next,далей; дал.,,
Next,Далей,,Samsung (элемент інтэрфейсу)
Next Day TV,Тэлешоу з сутачнай адтэрміноўкай,Тэлеперадача сутачнай даўнасці,Google (Also shortened to NDTV. Refers to television episodes that Google has the right to distribute the day after they air on broadcast television.)
next word prediction,прагназаванне наступнага слова,,"Google (A user can turn on next word prediction on their Android device, this provides faster entry on a word-by-word basis for regularly used phrases or language constructions.)"
Nexus Imprint,Nexus Imprint,,"Google (Google's own fingerprint authentication feature used to wake and unlock your phone, authorize purchases, or sign in to apps. Leave in EN.)"
Nexus Player,Nexus Player,,"Google (Nexus Player is a small console that plugs into your TV via HDMI. The console runs the Android TV platform and enables you to watch movies, play games and run apps on your TV. NOTES: Please leave name in English.)"
NFC,NFC,,"Google (Abbreviation of ""Near Field Communication."" A short-range, high frequency wireless communication technology. NFC makes it possible to exchange data between devices over short ranges (about 10 centimeters).); Samsung"
NFC reader,чытальнік NFC,,Samsung
